Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-04 20:16:23.877198+05:30 IST Asia/Kolkata,ETHUSD,2,sell,2/0,4350.85,4133.8,,87.017,0.04620603,0,0,market_order,closed,,,906742493
2025-09-04 20:16:06.110532+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,110019.5,104555.5,,110.0195,0.05842036,0,0,market_order,closed,,,906741205
2025-09-04 19:54:48.715846+05:30 IST Asia/Kolkata,BTCUSD,4,buy,4/0,109905.5,115395,,439.622,0.23343929,3.343,3.343,market_order,closed,,,906675268
2025-09-04 19:54:48.513108+05:30 IST Asia/Kolkata,SOLUSD,1,buy,1/0,206.052,226.6022,,206.052,0.10941362,0.239,0.239,market_order,closed,,,906675267
2025-09-04 19:54:48.372399+05:30 IST Asia/Kolkata,XRPUSD,100,buy,100/0,2.8267,3.1085,,282.67,0.15009777,0.38,0.38,market_order,closed,,,906675266
2025-09-04 19:54:48.258749+05:30 IST Asia/Kolkata,LTCUSD,10,buy,10/0,110.48,121.5,,110.48,0.05866488,0.36,0.36,market_order,closed,,,906675265
2025-09-04 10:54:08.433745+05:30 IST Asia/Kolkata,LTCUSD,10,sell,10/0,110.84,99.75,,110.84,0.05885604,0,0,market_order,closed,,,905748610
2025-09-04 10:44:32.617320+05:30 IST Asia/Kolkata,XRPUSD,100,sell,100/0,2.8305,2.5471,,283.05,0.15029955,0,0,market_order,closed,,,905732392
2025-09-04 10:34:22.300553+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,206.291,185.7605,,206.291,0.10954053,0,0,market_order,closed,,,905712698
2025-09-04 10:31:55.731147+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,110734.5,105253.5,,221.469,0.11760004,0,0,market_order,closed,,,905704785
2025-09-04 10:30:58.656664+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,110748,105249,,221.496,0.11761438,0,0,market_order,closed,,,905700211
2025-09-04 09:08:43.968132+05:30 IST Asia/Kolkata,BTCUSD,2,buy,2/0,111243,116805,,222.486,0.11814007,0.716,0.716,market_order,closed,,,905591852
2025-09-04 09:08:43.845455+05:30 IST Asia/Kolkata,DOGEUSD,4,buy,4/0,0.21636,0.23788,,86.544,0.04595487,0.68,0.68,market_order,closed,,,905591851
2025-09-04 09:08:43.737623+05:30 IST Asia/Kolkata,AVAXUSD,4,buy,4/0,25.166,27.6576,,100.664,0.05345259,-0.08,-0.08,market_order,closed,,,905591850
2025-09-04 09:08:43.562818+05:30 IST Asia/Kolkata,FLOKIUSD,15,buy,15/0,0.00009153,0.00010066,,13.7295,0.00729037,0.1425,0.1425,market_order,closed,,,905591849
